model,tag,completed_updates,wall_time,value
fm,sub_loss/val_prior_loss_epoch,13000,1789377174.705127,0.9658815264701843
fm,sub_loss/val_prior_loss_epoch,14000,1789377591.5176907,0.9657015204429626
fm,sub_loss/val_prior_loss_epoch,15000,1789378009.5001068,0.9658046960830688
fm,sub_loss/val_prior_loss_epoch,16000,1789378444.5668855,0.9658276438713074
fm,sub_loss/val_prior_loss_epoch,17000,1789378862.555784,0.9658628106117249
fm,sub_loss/val_prior_loss_epoch,18000,1789379273.675385,0.9658825993537903
fm,sub_loss/val_prior_loss_epoch,19000,1789379687.7790005,0.9657949805259705
fm,sub_loss/val_prior_loss_epoch,20000,1789380101.2330372,0.965778112411499
fm,sub_loss/val_prior_loss_epoch,21000,1789380535.56078,0.9656816124916077
fm,sub_loss/val_prior_loss_epoch,22000,1789380958.8881803,0.9657339453697205
fm,sub_loss/val_prior_loss_epoch,23000,1789381369.6306221,0.9658597111701965
fm,sub_loss/val_prior_loss_epoch,24000,1789381781.0967696,0.9659011363983154
fm,sub_loss/val_prior_loss_epoch,25000,1789382189.7484457,0.9656088948249817
fm,sub_loss/val_prior_loss_epoch,26000,1789382628.7894974,0.9657962918281555
fm,sub_loss/val_prior_loss_epoch,27000,1789383054.7230089,0.9656412601470947
fm,sub_loss/val_prior_loss_epoch,28000,1789383478.5555084,0.9656286239624023
fm,sub_loss/val_prior_loss_epoch,29000,1789383895.7082684,0.9657570719718933
fm,sub_loss/val_prior_loss_epoch,30000,1789384315.1676495,0.9657284021377563
fm,sub_loss/val_prior_loss_epoch,31000,1789384754.1756012,0.9658641815185547
fm,sub_loss/val_prior_loss_epoch,32000,1789385177.7232563,0.9659695029258728
fm,sub_loss/val_prior_loss_epoch,33000,1789385596.9347043,0.9656103849411011
fm,sub_loss/val_prior_loss_epoch,34000,1789386013.6754916,0.9657034277915955
fm,sub_loss/val_prior_loss_epoch,35000,1789386431.6870754,0.9657397866249084
fm,sub_loss/val_prior_loss_epoch,36000,1789386872.7499044,0.9657810926437378
fm,sub_loss/val_prior_loss_epoch,37000,1789387293.8427477,0.965921938419342
fm,sub_loss/val_prior_loss_epoch,38000,1789387710.4628136,0.9657447934150696
fm,sub_loss/val_prior_loss_epoch,39000,1789388129.4709926,0.9657589793205261
fm,sub_loss/val_prior_loss_epoch,40000,1789388548.7772114,0.9659549593925476
fm,sub_loss/val_prior_loss_epoch,41000,1789388989.1062546,0.9657428860664368
fm,sub_loss/val_prior_loss_epoch,42000,1789389423.3796134,0.9655465483665466
fm,sub_loss/val_prior_loss_epoch,43000,1789389843.5156677,0.9655748009681702
